Key	Type	TagName
492	tags	Indie
19	tags	Action
21	tags	Adventure
597	tags	Casual
9	tags	Strategy
599	tags	Simulation
122	tags	RPG
113	tags	Free to Play
4182	tags	Singleplayer
128	tags	Massively Multiplayer
701	tags	Sports
4667	tags	Violent
699	tags	Racing
3859	tags	Multiplayer
4345	tags	Gore
1756	tags	Great Soundtrack
4166	tags	Atmospheric
1664	tags	Puzzle
1667	tags	Horror
3871	tags	2D
4085	tags	Anime
6650	tags	Nudity
1742	tags	Story Rich
1695	tags	Open World
21978	tags	VR
3942	tags	Sci-fi
4026	tags	Difficult
1774	tags	Shooter
1685	tags	Co-op
1684	tags	Fantasy
1625	tags	Platformer
1663	tags	FPS
4136	tags	Funny
7208	tags	Female Protagonist
3839	tags	First-Person
3964	tags	Pixel Graphics
87	tags	Utilities
1662	tags	Survival
1719	tags	Comedy
4700	tags	Movie
12095	tags	Sexual Content
3810	tags	Sandbox
84	tags	Design & Illustration
1773	tags	Arcade
4004	tags	Retro
5350	tags	Family Friendly
1693	tags	Classic
1677	tags	Turn-Based
1698	tags	Point & Click
1697	tags	Third Person
1659	tags	Zombies
3843	tags	Online Co-Op
3834	tags	Exploration
7481	tags	Controller
3799	tags	Visual Novel
1755	tags	Space
1027	tags	Audio Production
1721	tags	Psychological Horror
4726	tags	Cute
1036	tags	Education
872	tags	Animation & Modeling
10397	tags	Memes
1708	tags	Tactical
7368	tags	Local Multiplayer
4711	tags	Replay Value
1716	tags	Rogue-like
3841	tags	Local Co-Op
4255	tags	Shoot 'Em Up
3978	tags	Survival Horror
3968	tags	Physics
4342	tags	Dark
4231	tags	Action RPG
5716	tags	Mystery
5900	tags	Walking Simulator
4175	tags	Realistic
5577	tags	RPGMaker
1734	tags	Fast-Paced
1676	tags	RTS
1687	tags	Stealth
784	tags	Video Production
1741	tags	Turn-Based Strategy
4106	tags	Action-Adventure
1738	tags	Hidden Object
1643	tags	Building
1678	tags	War
1702	tags	Crafting
3987	tags	Historical
4234	tags	Short
5611	tags	Mature
5537	tags	Puzzle-Platformer
1775	tags	PvP
1646	tags	Hack and Slash
1038	tags	Web Publishing
3798	tags	Side Scroller
3814	tags	Third-Person Shooter
1743	tags	Fighting
4885	tags	Bullet Hell
1645	tags	Tower Defense
7478	tags	Illuminati
12472	tags	Management
4305	tags	Colorful
4747	tags	Character Customization
9551	tags	Dating Sim
1669	tags	Moddable
3835	tags	Post-apocalyptic
4434	tags	JRPG
4791	tags	Top-Down
1654	tags	Relaxing
1621	tags	Music
1754	tags	MMORPG
3878	tags	Competitive
5984	tags	Drama
4604	tags	Dark Fantasy
4242	tags	Episodic
1445	tags	Software Training
4840	tags	4 Player Local
4172	tags	Medieval
4150	tags	World War II
6426	tags	Choices Matter
4295	tags	Futuristic
4158	tags	Beat 'em up
1720	tags	Dungeon Crawler
8013	tags	Software
3959	tags	Rogue-lite
10695	tags	Party-Based RPG
5125	tags	Procedural Generation
5711	tags	Team-Based
5752	tags	Robots
4115	tags	Cyberpunk
4057	tags	Magic
4064	tags	Thriller
5851	tags	Isometric
4947	tags	Romance
4168	tags	Military
6378	tags	Crime
1710	tags	Surreal
4036	tags	Parkour
7332	tags	Base Building
4094	tags	Minimalist
1666	tags	Card Game
4486	tags	Choose Your Own Adventure
1673	tags	Aliens
1628	tags	Metroidvania
1644	tags	Driving
4637	tags	Top-Down Shooter
1759	tags	Perma Death
4325	tags	Turn-Based Combat
4328	tags	City Builder
5923	tags	Dark Humor
1770	tags	Board Game
4758	tags	Twin Stick Shooter
5395	tags	3D Platformer
5228	tags	Blood
8122	tags	Level Editor
1777	tags	Steampunk
6971	tags	Multiple Endings
4195	tags	Cartoony
14139	tags	Turn-Based Tactics
15045	tags	Flight
1718	tags	MOBA
809	tags	Photo Editing
4252	tags	Stylized
1616	tags	Trains
29363	tags	3D Vision
4364	tags	Grand Strategy
4695	tags	Economy
5153	tags	Kickstarter
5613	tags	Detective
7948	tags	Soundtrack
4236	tags	Loot
5363	tags	Destruction
13906	tags	Game Development
6691	tags	1990's
5547	tags	Arena Shooter
13782	tags	Experimental
15339	tags	Documentary
8945	tags	Resource Management
5348	tags	Mod
5030	tags	Dystopian 
6730	tags	PvE
9541	tags	Demons
5186	tags	Psychological
4562	tags	Cartoon
8075	tags	TrackIR
7743	tags	1980s
7782	tags	Cult Classic
7432	tags	Lovecraftian
1665	tags	Match 3
1670	tags	4X
6815	tags	Hand-drawn
5708	tags	Remake
4975	tags	2.5D
11014	tags	Interactive Fiction
25085	tags	Touch-Friendly
1688	tags	Ninja
4736	tags	2D Fighter
4821	tags	Mechs
10816	tags	Split Screen
16598	tags	Space Sim
7107	tags	Real-Time with Pause
4400	tags	Abstract
4046	tags	Dragons
5160	tags	Dinosaurs
4161	tags	Real-Time
1752	tags	Rhythm
1681	tags	Pirates
1649	tags	GameMaker
4684	tags	Wargame
4376	tags	Assassin
17305	tags	Strategy RPG
5310	tags	Games Workshop
1671	tags	Superhero
7250	tags	Linear
9271	tags	Trading Card Game
1751	tags	Comic Book
21725	tags	Tactical RPG
12057	tags	Tutorial
